,Bam_file,CODING_BASES,CORRECT_STRAND_READS,DX,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RINe,TIN(mean),TIN(median),TIN(stdev),UTR_BASES,extraction,final_freeze_thaw,is_polyA
S34_numsort,S34_numsort.bam,522372265.0,189991.0,ASD-2,0.0,16162676.0,121121246.0,139794105.0,0.505987,0.010077,0.023055,0.647522,186704.0,16149283.0,16680.0,0.464297,0.011618,0.107655,0.124252,0.768092,0.011429,0.988571,0.758421,0.303796,1125083210.0,1139430572.0,9.0,72.7076122888,75.9199946082,12.2288201694,341795594.0,polyA,1,1.0
S35_numsort,S35_numsort.bam,449980787.0,170439.0,ASD-2,0.0,14006144.0,105501341.0,120644279.0,0.505924,0.00945,0.021581,0.654817,167678.0,13994733.0,14172.0,0.461239,0.012023,0.108141,0.123663,0.768197,0.01184,0.98816,0.7589,0.306958,975592309.0,987542976.0,9.0,71.903816388,75.0721932476,12.2746473721,299465902.0,polyA,1,1.0
S36_numsort,S36_numsort.bam,900504730.0,272904.0,ASD-1,0.0,27893284.0,231621646.0,197145383.0,0.46826,0.009141,0.02443,0.636668,268273.0,27868216.0,29699.0,0.471847,0.009689,0.121365,0.1033,0.775334,0.009535,0.990465,0.764705,0.303488,1908467998.0,1934994670.0,9.2,73.0872667525,76.4489329179,12.5510093697,579196239.0,polyA,1,1.0
S37_numsort,S37_numsort.bam,532444781.0,176795.0,TD-1,0.0,16982025.0,138995611.0,152397201.0,0.504632,0.009489,0.021182,0.626721,174774.0,16966883.0,17163.0,0.445374,0.010303,0.116266,0.127476,0.756259,0.010196,0.989804,0.746466,0.310885,1195501523.0,1211184622.0,8.8,72.8363552722,75.8644631245,12.0581025169,371663930.0,polyA,1,1.0
S38_numsort,S38_numsort.bam,870032318.0,314687.0,TD-1,0.0,27163961.0,183156555.0,210741139.0,0.483814,0.009578,0.028105,0.633526,309549.0,27140867.0,28232.0,0.473034,0.011452,0.099582,0.114579,0.785839,0.011277,0.988723,0.776353,0.312805,1839258948.0,1861732819.0,9.2,73.9416421814,77.261126286,12.0944385657,575328936.0,polyA,1,1.0
S39_numsort,S39_numsort.bam,619472427.0,234667.0,ASD-2,0.0,19151602.0,143020122.0,152135575.0,0.522187,0.010786,0.024091,0.655863,230786.0,19135813.0,19670.0,0.469105,0.012105,0.108304,0.115207,0.776489,0.011917,0.988083,0.766686,0.307385,1320542393.0,1337427528.0,8.9,72.7368510992,76.0219534004,12.1507457947,405914269.0,polyA,1,1.0
S3_numsort,S3_numsort.bam,361447741.0,158507.0,TD-1,0.0,11678912.0,96847403.0,107465559.0,0.532672,0.00912,0.016891,0.63755,157023.0,11669156.0,11240.0,0.43653,0.01339,0.116965,0.129789,0.753246,0.013278,0.986722,0.743381,0.316716,828002345.0,838990746.0,8.3,71.5198272367,74.6998225186,12.2559939398,262241642.0,polyA,1,1.0
S40_numsort,S40_numsort.bam,655545671.0,349210.0,ASD-2,0.0,20994424.0,157889810.0,138410349.0,0.570359,0.015306,0.030417,0.666991,344187.0,20976785.0,22662.0,0.460368,0.016361,0.110881,0.097201,0.791918,0.016143,0.983857,0.779328,0.33155,1423959491.0,1446962842.0,8.1,71.9562723013,75.1251641106,11.8603165248,472113661.0,polyA,1,1.0
S41_numsort,S41_numsort.bam,1198299606.0,350992.0,ASD-1,0.0,38009767.0,248189699.0,306995607.0,0.495421,0.010795,0.026837,0.648535,344353.0,37979686.0,36720.0,0.465695,0.00915,0.096454,0.119308,0.784238,0.008985,0.991015,0.774302,0.318543,2573141685.0,2606161571.0,9.0,73.8845215429,76.8874778466,12.0166772081,819656773.0,polyA,1,1.0
S42_numsort,S42_numsort.bam,1133632387.0,369052.0,ASD-1,0.0,35315337.0,284263090.0,266216188.0,0.581887,0.00985,0.024015,0.653401,361122.0,35288268.0,34999.0,0.465186,0.010342,0.116647,0.109242,0.774111,0.01013,0.98987,0.763463,0.308924,2436942136.0,2470929501.0,9.0,73.6350940881,76.779992193,11.8332054394,752830471.0,polyA,2,1.0
S43_numsort,S43_numsort.bam,1184453846.0,381541.0,ASD-2,0.0,36940362.0,281654418.0,320998913.0,0.516727,0.010413,0.024777,0.644599,368703.0,36911101.0,42099.0,0.460179,0.010223,0.109427,0.124713,0.765859,0.00989,0.99011,0.755751,0.30568,2573895709.0,2608323287.0,,74.6070052877,77.7543373341,11.8136325221,786788532.0,polyA,2,1.0
S44_numsort,S44_numsort.bam,538809268.0,174658.0,TD-2,0.0,16366058.0,118481671.0,143022242.0,0.490984,0.011827,0.02644,0.636083,171630.0,16351413.0,17673.0,0.475501,0.010559,0.10456,0.126218,0.769222,0.010387,0.989613,0.759316,0.293721,1133139872.0,1147921862.0,9.0,72.703149674,76.0597330155,12.3541126909,332826691.0,polyA,2,1.0
S45_numsort,S45_numsort.bam,605827529.0,121226.0,Clontech-2,0.0,17427245.0,105753373.0,70222301.0,0.558397,0.008181,0.015825,0.690103,119111.0,17408374.0,20986.0,0.560685,0.006908,0.097873,0.06499,0.837137,0.006796,0.993204,0.828192,0.276452,1080512663.0,1092182424.0,7.3,66.1783123253,69.4549137512,13.4366562875,298709460.0,polyA,1,1.0
